service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HD16H101-04-ROSE,1,1,1,1,1,0,0,20160115,20160701
HD16H101-04-ROSE-1101100,1,1,0,1,1,0,0,20160115,20160701
HD16H101-04-ROSE-0010000,0,0,1,0,0,0,0,20160115,20160701
HD16H106-01-VERT,0,0,0,0,0,1,0,20160116,20160702
HD16H107-02-BLEU,0,0,0,0,0,0,1,20160117,20160703
HD16H1E6-00-VERT,0,0,0,0,0,1,0,20160123,20160123
HD16V101-21-JAUNE,1,1,1,1,1,0,0,20160208,20160708
HA16H101-01-ROSE,1,1,1,1,1,0,0,20160115,20160701
HA16H101-01-ROSE-0010000,0,0,1,0,0,0,0,20160115,20160701
HA16H101-01-ROSE-1101100,1,1,0,1,1,0,0,20160115,20160701
HA16H106-01-VERT,0,0,0,0,0,1,0,20160116,20160702
HA16H107-00-BLEU,0,0,0,0,0,0,1,20160117,20160703
HA16V101-21-JAUNE,1,1,1,1,1,0,0,20160208,20160708
HS16H101-05-ROSE,1,1,1,1,1,0,0,20160115,20160701
HS16H101-05-ROSE-0010000,0,0,1,0,0,0,0,20160115,20160701
HS16H101-05-ROSE-0000100,0,0,0,0,1,0,0,20160115,20160701
HS16H101-05-ROSE-1101100,1,1,0,1,1,0,0,20160115,20160701
HS16H101-05-ROSE-0101100,0,1,0,1,1,0,0,20160115,20160701
HS16H101-05-ROSE-0100000,0,1,0,0,0,0,0,20160115,20160701
HS16H101-05-ROSE-1001000,1,0,0,1,0,0,0,20160115,20160701
HS16H101-05-ROSE-1000000,1,0,0,0,0,0,0,20160115,20160701
HS16H106-00-VERT,0,0,0,0,0,1,0,20160116,20160702
HS16H107-00-BLEU,0,0,0,0,0,0,1,20160117,20160703
HS16V101-20-JAUNE,1,1,1,1,1,0,0,20160208,20160708
HS16H1Z7-00-BLEU,0,0,0,0,0,0,1,20160328,20160516
HT16H101-08-ROSE,1,1,1,1,1,0,0,20160115,20160701
HT16H101-08-ROSE-0000100,0,0,0,0,1,0,0,20160115,20160701
HT16H101-08-ROSE-1101100,1,1,0,1,1,0,0,20160115,20160701
HT16H101-08-ROSE-0010000,0,0,1,0,0,0,0,20160115,20160701
HT16H106-00-VERT,0,0,0,0,0,1,0,20160116,20160702
HT16H107-01-BLEU,0,0,0,0,0,0,1,20160117,20160703
HT16V101-21-JAUNE,1,1,1,1,1,0,0,20160208,20160708
