service_id,date,exception_type
HD16H101-04-ROSE,20160208,2
HD16H101-04-ROSE-1101100,20160208,2
HD16H101-04-ROSE-0010000,20160208,2
HD16H101-04-ROSE,20160209,2
HD16H101-04-ROSE-1101100,20160209,2
HD16H101-04-ROSE-0010000,20160209,2
HD16H101-04-ROSE,20160210,2
HD16H101-04-ROSE-1101100,20160210,2
HD16H101-04-ROSE-0010000,20160210,2
HD16H101-04-ROSE,20160211,2
HD16H101-04-ROSE-1101100,20160211,2
HD16H101-04-ROSE-0010000,20160211,2
HD16H101-04-ROSE,20160212,2
HD16H101-04-ROSE-1101100,20160212,2
HD16H101-04-ROSE-0010000,20160212,2
HD16H101-04-ROSE,20160215,2
HD16H101-04-ROSE-1101100,20160215,2
HD16H101-04-ROSE-0010000,20160215,2
HD16H101-04-ROSE,20160216,2
HD16H101-04-ROSE-1101100,20160216,2
HD16H101-04-ROSE-0010000,20160216,2
HD16H101-04-ROSE,20160217,2
HD16H101-04-ROSE-1101100,20160217,2
HD16H101-04-ROSE-0010000,20160217,2
HD16H101-04-ROSE,20160218,2
HD16H101-04-ROSE-1101100,20160218,2
HD16H101-04-ROSE-0010000,20160218,2
HD16H101-04-ROSE,20160219,2
HD16H101-04-ROSE-1101100,20160219,2
HD16H101-04-ROSE-0010000,20160219,2
HD16H101-04-ROSE,20160328,2
HD16H101-04-ROSE-1101100,20160328,2
HD16H101-04-ROSE-0010000,20160328,2
HD16H101-04-ROSE,20160404,2
HD16H101-04-ROSE-1101100,20160404,2
HD16H101-04-ROSE-0010000,20160404,2
HD16H101-04-ROSE,20160405,2
HD16H101-04-ROSE-1101100,20160405,2
HD16H101-04-ROSE-0010000,20160405,2
HD16H101-04-ROSE,20160406,2
HD16H101-04-ROSE-1101100,20160406,2
HD16H101-04-ROSE-0010000,20160406,2
HD16H101-04-ROSE,20160407,2
HD16H101-04-ROSE-1101100,20160407,2
HD16H101-04-ROSE-0010000,20160407,2
HD16H101-04-ROSE,20160408,2
HD16H101-04-ROSE-1101100,20160408,2
HD16H101-04-ROSE-0010000,20160408,2
HD16H101-04-ROSE,20160411,2
HD16H101-04-ROSE-1101100,20160411,2
HD16H101-04-ROSE-0010000,20160411,2
HD16H101-04-ROSE,20160412,2
HD16H101-04-ROSE-1101100,20160412,2
HD16H101-04-ROSE-0010000,20160412,2
HD16H101-04-ROSE,20160413,2
HD16H101-04-ROSE-1101100,20160413,2
HD16H101-04-ROSE-0010000,20160413,2
HD16H101-04-ROSE,20160414,2
HD16H101-04-ROSE-1101100,20160414,2
HD16H101-04-ROSE-0010000,20160414,2
HD16H101-04-ROSE,20160415,2
HD16H101-04-ROSE-1101100,20160415,2
HD16H101-04-ROSE-0010000,20160415,2
HD16H101-04-ROSE,20160505,2
HD16H101-04-ROSE-1101100,20160505,2
HD16H101-04-ROSE-0010000,20160505,2
HD16H101-04-ROSE,20160506,2
HD16H101-04-ROSE-1101100,20160506,2
HD16H101-04-ROSE-0010000,20160506,2
HD16H101-04-ROSE,20160516,2
HD16H101-04-ROSE-1101100,20160516,2
HD16H101-04-ROSE-0010000,20160516,2
HD16H106-01-VERT,20160123,2
HD16H107-02-BLEU,20160328,1
HD16H107-02-BLEU,20160505,1
HD16H107-02-BLEU,20160516,1
HD16V101-21-JAUNE,20160222,2
HD16V101-21-JAUNE,20160223,2
HD16V101-21-JAUNE,20160224,2
HD16V101-21-JAUNE,20160225,2
HD16V101-21-JAUNE,20160226,2
HD16V101-21-JAUNE,20160229,2
HD16V101-21-JAUNE,20160301,2
HD16V101-21-JAUNE,20160302,2
HD16V101-21-JAUNE,20160303,2
HD16V101-21-JAUNE,20160304,2
HD16V101-21-JAUNE,20160307,2
HD16V101-21-JAUNE,20160308,2
HD16V101-21-JAUNE,20160309,2
HD16V101-21-JAUNE,20160310,2
HD16V101-21-JAUNE,20160311,2
HD16V101-21-JAUNE,20160314,2
HD16V101-21-JAUNE,20160315,2
HD16V101-21-JAUNE,20160316,2
HD16V101-21-JAUNE,20160317,2
HD16V101-21-JAUNE,20160318,2
HD16V101-21-JAUNE,20160321,2
HD16V101-21-JAUNE,20160322,2
HD16V101-21-JAUNE,20160323,2
HD16V101-21-JAUNE,20160324,2
HD16V101-21-JAUNE,20160325,2
HD16V101-21-JAUNE,20160328,2
HD16V101-21-JAUNE,20160329,2
HD16V101-21-JAUNE,20160330,2
HD16V101-21-JAUNE,20160331,2
HD16V101-21-JAUNE,20160401,2
HD16V101-21-JAUNE,20160418,2
HD16V101-21-JAUNE,20160419,2
HD16V101-21-JAUNE,20160420,2
HD16V101-21-JAUNE,20160421,2
HD16V101-21-JAUNE,20160422,2
HD16V101-21-JAUNE,20160425,2
HD16V101-21-JAUNE,20160426,2
HD16V101-21-JAUNE,20160427,2
HD16V101-21-JAUNE,20160428,2
HD16V101-21-JAUNE,20160429,2
HD16V101-21-JAUNE,20160502,2
HD16V101-21-JAUNE,20160503,2
HD16V101-21-JAUNE,20160504,2
HD16V101-21-JAUNE,20160505,2
HD16V101-21-JAUNE,20160509,2
HD16V101-21-JAUNE,20160510,2
HD16V101-21-JAUNE,20160511,2
HD16V101-21-JAUNE,20160512,2
HD16V101-21-JAUNE,20160513,2
HD16V101-21-JAUNE,20160516,2
HD16V101-21-JAUNE,20160517,2
HD16V101-21-JAUNE,20160518,2
HD16V101-21-JAUNE,20160519,2
HD16V101-21-JAUNE,20160520,2
HD16V101-21-JAUNE,20160523,2
HD16V101-21-JAUNE,20160524,2
HD16V101-21-JAUNE,20160525,2
HD16V101-21-JAUNE,20160526,2
HD16V101-21-JAUNE,20160527,2
HD16V101-21-JAUNE,20160530,2
HD16V101-21-JAUNE,20160531,2
HD16V101-21-JAUNE,20160601,2
HD16V101-21-JAUNE,20160602,2
HD16V101-21-JAUNE,20160603,2
HD16V101-21-JAUNE,20160606,2
HD16V101-21-JAUNE,20160607,2
HD16V101-21-JAUNE,20160608,2
HD16V101-21-JAUNE,20160609,2
HD16V101-21-JAUNE,20160610,2
HD16V101-21-JAUNE,20160613,2
HD16V101-21-JAUNE,20160614,2
HD16V101-21-JAUNE,20160615,2
HD16V101-21-JAUNE,20160616,2
HD16V101-21-JAUNE,20160617,2
HD16V101-21-JAUNE,20160620,2
HD16V101-21-JAUNE,20160621,2
HD16V101-21-JAUNE,20160622,2
HD16V101-21-JAUNE,20160623,2
