route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1-0,"1",1,François Mitterrand / Jamet - Beaujoire / Ranzay,,0,007a45,ffffff
2-0,"1",2,Orvault Grand Val - Gare de Pont Rousseau,,0,e53138,ffffff
3-0,"1",3,Marcel Paul - Neustrie,,0,0079bc,ffffff
4-0,"1",4,Foch - Cathédrale - Porte de Vertou,,0,fdc600,000000
10-0,"1",10,Gare de Chantenay - Bd de Doulon,,3,ffed00,000000
11-0,"1",11,Tertre - Perray,,3,e9c389,000000
12-0,"1",12,Jules Verne - Beauséjour,,3,b5ddf3,000000
20-0,"1",20,Ecole Centrale - Audencia - Gare de Chantenay,,3,ffed00,000000
23-0,"1",23,Haluchère Batignolles - Mendès France - Bellevue,,3,34b4e4,ffffff
26-0,"1",26,Jonelière - Hôtel de Région,,3,009534,ffffff
27-0,"1",27,La Herdrie - Pirmil,,3,b5ddf3,000000
28-0,"1",28,Vertou - Pirmil,,3,b5ddf3,000000
29-0,"1",29,La Herdrie - Pirmil,,3,f5bac6,000000
30-0,"1",30,Savarières - Trentemoult,,3,ffed00,000000
33-0,"1",33,Robinière / Aufrère - Espace Diderot,,3,f5bac6,000000
36-0,"1",36,Gréneraie - Croix Jeannette,,3,00a4a7,ffffff
39-0,"1",39,Chalonges - Pirmil,,3,f5bac6,000000
40-0,"1",40,Mendès France - Bellevue - Neustrie,,3,ffed00,000000
42-0,"1",42,Vertou - Pirmil,,3,cbd300,000000
47-0,"1",47,Pégers / Grande Noëlle - Vertou,,3,beabd0,ffffff
50-0,"1",50,Basse Indre - Rivière,,3,ffed00,000000
54-0,"1",54,Marcel Paul - Commerce,,3,cbd300,000000
59-0,"1",59,Mendès France - Bellevue - Bout des Landes,,3,f5bac6,000000
66-0,"1",66,Babinière - Ecole Centrale-Audencia,,3,0079bc,ffffff
67-0,"1",67,Le Cellier - Centre de Thouaré,,3,0079bc,ffffff
68-0,"1",68,St-Aignan de Grand Lieu - Brains,,3,0079bc,ffffff
69-0,"1",69,Sautron - Orvault - Morlière,,3,c0893a,ffffff
71-0,"1",71,Bac de Couëron - Hermeland,,3,cbd300,000000
75-0,"1",75,Charbonneau - Facultés,,3,e9c389,000000
77-0,"1",77,Collège Sables d'Or - Haluchère - Batignolles,,3,b5ddf3,000000
78-0,"1",78,Bac du Pellerin - Neustrie,,3,f8b323,000000
79-0,"1",79,Orvault - Beauséjour,,3,f5bac6,000000
80-0,"1",80,Chassay / Bellevue -  Fac de Droit,,3,ffed00,000000
81-0,"1",81,Mendès France - Bellevue - Gare Maritime,,3,00a4a7,ffffff
85-0,"1",85,Bois St-Lys - Haluchère - Batignolles,,3,f5bac6,000000
86-0,"1",86,La Chapelle Aulnay/Coutancière - Bout des Pavés,,3,34b4e4,ffffff
87-0,"1",87,Le Halleray - Toutes Aides,,3,f8b323,000000
88-0,"1",88,Bouaye / Brains / St-Léger - Neustrie,,3,f8b323,000000
89-0,"1",89,Le Cardo - Beauséjour,,3,77ad1c,ffffff
91-0,"1",91,Couëron-Bougon - Mendès France - Bellevue,,3,009534,ffffff
93-0,"1",93,Hôpital Laënnec - Hauts de Couëron,,3,00a4a7,ffffff
95-0,"1",95,Souchais - Haluchère - Batignolles,,3,cbd300,000000
96-0,"1",96,La Chapelle Aulnay - Beauséjour,,3,f8b323,000000
97-0,"1",97,Vertou - Trentemoult,,3,beabd0,ffffff
