route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
E1-0,HA16H101-01-ROSE,10001297-HA16H101-01-ROSE,"Gare Maritime",1,1227413,E17492
E1-0,HA16H101-01-ROSE,10001298-HA16H101-01-ROSE,"Gare Maritime",1,1227410,E17492
E1-0,HA16H101-01-ROSE,10001299-HA16H101-01-ROSE,"Gare Maritime",1,1227409,E17492
E1-0,HA16H101-01-ROSE,10001300-HA16H101-01-ROSE,"Gare Maritime",1,1227406,E17492
E1-0,HA16H101-01-ROSE,10001301-HA16H101-01-ROSE,"Gare Maritime",1,1227408,E17492
E1-0,HA16H101-01-ROSE,10001302-HA16H101-01-ROSE,"Gare Maritime",1,1227404,E17492
E1-0,HA16H101-01-ROSE,10001303-HA16H101-01-ROSE,"Gare Maritime",1,1227415,E17492
E1-0,HA16H101-01-ROSE,10001304-HA16H101-01-ROSE,"Gare Maritime",1,1227413,E17492
E1-0,HA16H101-01-ROSE,10001305-HA16H101-01-ROSE,"Gare Maritime",1,1227410,E17492
E1-0,HA16H101-01-ROSE,10001306-HA16H101-01-ROSE,"Gare Maritime",1,1227409,E17492
E1-0,HA16H101-01-ROSE,10001307-HA16H101-01-ROSE,"Gare Maritime",1,1227406,E17492
E1-0,HA16H101-01-ROSE,10001308-HA16H101-01-ROSE,"Couëron",0,1227413,E17493
E1-0,HA16H101-01-ROSE,10001309-HA16H101-01-ROSE,"Couëron",0,1227410,E17493
E1-0,HA16H101-01-ROSE,10001310-HA16H101-01-ROSE,"Couëron",0,1227409,E17493
E1-0,HA16H101-01-ROSE,10001311-HA16H101-01-ROSE,"Couëron",0,1227406,E17493
E1-0,HA16H101-01-ROSE,10001343-HA16H101-01-ROSE,"Couëron",0,1227415,E17493
E1-0,HA16H101-01-ROSE,10001344-HA16H101-01-ROSE,"Couëron",0,1227408,E17493
E1-0,HA16H101-01-ROSE,10001349-HA16H101-01-ROSE,"Gare Maritime",1,1227415,E17492
E1-0,HA16H101-01-ROSE,10001350-HA16H101-01-ROSE,"Gare Maritime",1,1227408,E17492
E1-0,HA16H101-01-ROSE,10001351-HA16H101-01-ROSE,"Couëron",0,1227415,E17493
67-0,HA16H101-01-ROSE,10001411-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001412-HA16H101-01-ROSE,"Le Cellier",0,1227154,676368
67-0,HA16H101-01-ROSE,10001413-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001414-HA16H101-01-ROSE,"Le Cellier",0,1227154,676368
67-0,HA16H101-01-ROSE,10001415-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001416-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001417-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001418-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001419-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001420-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001421-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001422-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001423-HA16H101-01-ROSE,"Le Cellier",0,1227155,676368
67-0,HA16H101-01-ROSE,10001424-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001425-HA16H101-01-ROSE,"Le Cellier",0,1227155,676368
67-0,HA16H101-01-ROSE,10001426-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001427-HA16H101-01-ROSE,"Le Cellier",0,1227155,676368
67-0,HA16H101-01-ROSE,10001428-HA16H101-01-ROSE,"Le Cellier",0,1227153,676368
67-0,HA16H101-01-ROSE,10001429-HA16H101-01-ROSE,"Le Cellier",0,1227155,676368
67-0,HA16H101-01-ROSE,10001430-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001431-HA16H101-01-ROSE,"Centre de Thouaré",1,1227154,676369
67-0,HA16H101-01-ROSE,10001432-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001433-HA16H101-01-ROSE,"Centre de Thouaré",1,1227154,676369
67-0,HA16H101-01-ROSE,10001434-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001435-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001436-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001437-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001438-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001439-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001440-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001441-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001442-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001443-HA16H101-01-ROSE,"Centre de Thouaré",1,1227155,676369
67-0,HA16H101-01-ROSE,10001444-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001445-HA16H101-01-ROSE,"Centre de Thouaré",1,1227155,676369
67-0,HA16H101-01-ROSE,10001446-HA16H101-01-ROSE,"Centre de Thouaré",1,1227153,676369
67-0,HA16H101-01-ROSE,10001447-HA16H101-01-ROSE,"Centre de Thouaré",1,1227155,676369
